brand,name,size(g),price,unit_price
Bugles,Nacho Cheese,213,1.97,0.9248826291079811
Doritos,Ketchup Chips,230,3.18,1.382608695652174
Lay's,"Potato Chips, PEI Scalloped Potatoes",255,2.47,0.9686274509803923
Humpty Dumpty,Original Party Mix,280,3.28,1.1714285714285713
Old Dutch,"Potato Chips, Ketchup",255,3.48,1.3647058823529412
Christie,"Bits & Bites, Original",175,2.27,1.2971428571428572
No Name,"Potato Chips, Salt & Vinegar",200,1.18,0.59
Terra,Blue,170,3.98,2.3411764705882354
Tostitos,"Tortilla Chips, Hint of Lime",275,2.97,1.08
Beanfields,"Chips, Nacho",156,4.48,2.8717948717948723
,"Crunchy Cheese Flavoured Snacks, Cheddar Jalapeño",310,3.27,1.0548387096774194
